pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.947334,40.796623,-73.929176,40.825581,2013-04-03 18:44:00
-73.870903,40.773739,-73.92955,40.826138,2013-04-03 18:48:00
-73.95166,40.781273,-73.927994,40.830303,2013-04-03 18:47:00
-73.996437,40.748058,-73.930428,40.826881,2013-04-03 19:24:00
-73.97126,40.795303,-73.927307,40.82814,2013-04-03 19:29:00
-73.9561,40.771915,-73.922752,40.826595,2013-04-03 18:56:00
-73.985214,40.721832,-73.930511,40.826847,2013-04-03 18:57:00
-73.948914,40.828403,-73.928741,40.829197,2013-04-03 19:30:00
-73.94648,40.780815,-73.929199,40.825661,2013-04-03 19:13:00
-73.955383,40.769276,-73.929794,40.826527,2013-04-03 19:19:00
-73.953133,40.766972,-73.930679,40.826038,2013-04-04 18:43:00
-73.954651,40.773251,-73.930191,40.826862,2013-04-04 18:50:00
-73.956245,40.767403,-73.930275,40.826836,2013-04-04 18:50:00
-73.966728,40.753231,-73.929794,40.826591,2013-04-04 18:51:00
-73.95755,40.779572,-73.929916,40.826691,2013-04-04 18:47:00
-73.984993,40.753864,-73.92791,40.82983,2013-04-04 18:36:00
-73.958244,40.760746,-73.923592,40.831799,2013-04-04 19:01:00
-73.985901,40.762386,-73.930122,40.826786,2013-04-04 19:05:00
-73.962593,40.772602,-73.927635,40.831348,2013-04-04 19:09:00
-73.951797,40.773689,-73.93116,40.828827,2013-04-04 19:12:00
-73.955635,40.804237,-73.928223,40.829548,2013-04-04 18:39:00
-73.97274,40.793304,-73.92926,40.828896,2013-04-04 19:17:00
-73.969765,40.799992,-73.928131,40.829617,2013-04-04 19:22:00
-73.976646,40.751892,-73.927338,40.830364,2013-04-04 19:21:00
-73.985672,40.735428,-73.929482,40.826038,2013-04-04 19:23:00
-73.982307,40.749275,-73.930214,40.826878,2013-04-04 18:52:00
-73.866058,40.77002,-73.929611,40.826237,2013-04-04 18:55:00
-73.975266,40.752281,-73.928055,40.829819,2013-04-04 19:07:00
-73.971252,40.782776,-73.926033,40.831898,2013-04-04 18:54:00
-73.96431,40.770599,-73.927879,40.830296,2013-04-04 19:27:00
-73.982048,40.775772,-73.929199,40.828903,2013-04-04 19:13:00
-73.791023,40.645264,-73.928421,40.829369,2013-04-04 19:31:00
-73.98616,40.762245,-73.930153,40.826801,2013-04-04 19:24:00
-73.866402,40.771198,-73.92997,40.826714,2013-04-04 18:41:00
-74.006439,40.739292,-73.930397,40.826874,2013-04-04 18:59:00
-73.98465,40.75396,-73.92849,40.829582,2013-07-28 12:55:10
-73.962173,40.77919,-73.926224,40.827923,2013-07-28 13:25:56
-73.982178,40.764381,-73.928787,40.829105,2013-07-28 13:21:13
-73.977409,40.779377,-73.929565,40.826172,2013-07-28 13:09:03
