pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.993774,40.746494,-73.846451,40.754765,2013-08-07 19:20:59
-73.973778,40.759338,-73.844559,40.757786,2013-08-08 12:29:55
-74.004158,40.706474,-73.848686,40.757492,2013-08-08 11:59:44
-73.97155,40.75679,-73.844795,40.75827,2013-08-07 19:23:42
-73.987724,40.701675,-73.84462,40.757988,2013-04-07 12:45:00
-73.974747,40.790497,-73.846222,40.75983,2013-04-07 12:42:00
-73.925919,40.767014,-73.843849,40.756451,2013-04-07 12:48:00
-73.863388,40.769608,-73.838493,40.762543,2013-04-07 12:50:00
-73.961739,40.72023,-73.848198,40.758728,2013-04-07 12:56:00
-73.977585,40.76252,-73.844093,40.756924,2013-04-07 13:04:00
-73.951431,40.769932,-73.844566,40.757847,2013-04-07 13:01:00
-73.969139,40.78561,-73.844971,40.758629,2013-04-07 13:09:00
-73.958015,40.773483,-73.844696,40.758083,2013-04-07 13:20:00
-73.956528,40.783993,-73.845032,40.758766,2013-04-07 13:17:00
-73.976791,40.750904,-73.848785,40.757614,2013-07-01 18:43:50
-73.986671,40.746971,-73.846207,40.754326,2013-07-01 18:47:31
-73.95533,40.788475,-73.844559,40.757652,2013-07-01 18:53:36
-73.782158,40.644482,-73.849327,40.758041,2013-07-02 19:09:08
-73.966347,40.79459,-73.844597,40.757874,2013-09-17 19:23:00
-73.940956,40.75132,-73.843773,40.756378,2013-09-19 13:04:00
-73.78656,40.652279,-73.838417,40.756088,2013-09-19 12:43:00
-73.964119,40.792629,-73.847023,40.759171,2013-06-09 12:50:00
-73.975952,40.781361,-73.844879,40.758472,2013-06-29 13:17:00
-73.863815,40.769577,-73.837288,40.762737,2013-05-24 19:23:42
-73.910408,40.776039,-73.845062,40.758724,2013-05-24 19:12:46
-73.967987,40.75563,-73.844917,40.75856,2013-05-25 19:29:15
-73.973877,40.750462,-73.84462,40.758011,2013-05-25 19:45:39
-73.90374,40.771191,-73.844856,40.758373,2013-05-26 19:42:45
-73.919945,40.768528,-73.84417,40.757,2013-05-26 19:55:49
-73.982368,40.762993,-73.844658,40.757942,2013-05-26 19:37:28
-73.834679,40.75901,-73.842896,40.755737,2013-05-26 19:45:58
-73.961555,40.71859,-73.845718,40.759815,2013-05-26 20:01:07
-73.86338,40.77108,-73.849655,40.753582,2013-08-29 13:36:30
