"|","name","lines","lat","line","lng"
"CHURCH AVENUE","Church Av","B,Q","40.649427","Brighton","-73.963356"
"BAYCHESTER AVE-TILLOTSON","Baychester Av","5","40.879330","Dyre Avenue","-73.837858"
"125TH STREET & BROADWAY","125 St","1","40.815230","7th Ave-Bway","-73.958366"
"42ND STREET & GRAND CENTRAL","Grand Central-42 St","GS,4,5,6,7","40.751724","Lexington","-73.976346"
"18TH STREET-7TH AVENUE","18 St","1","40.741617","7th Ave-Bway","-73.997197"
"PELHAM BAY PARK-BRUCKNER BL","Pelham Bay Park","6","40.853041","Pelham","-73.826991"
"111TH STREET","111 St","J","40.697055","Jamaica","-73.837156"
"MT EDEN AVENUE-JEROME AVE","Mt Eden Av","4","40.844389","Jerome","-73.914578"
"18TH AVENUE-62ND STREET","18 Av","N","40.620062","Sea Beach","-73.989410"
"CHAMBERS STREET","Chambers St","1,2,3","40.715576","7th Ave-Bway","-74.009031"
"BOTANIC GARDEN-FRANKLIN AVE","Botanic Garden","FS,2,3,4,5","40.670588","Franklin Shuttle","-73.959093"
"AVENUE U-WEST 7TH STREET","Avenue U","N","40.596459","Sea Beach","-73.978943"
"SPRING STREET-LAFAYETTE ST","Spring St","6","40.722235","Lexington","-73.996818"
"BURNSIDE AVE-JEROME AVE","Burnside Av","4","40.853596","Jerome","-73.907393"
"NEW UTRECHT AVENUE-62ND ST","New Utrecht Av","D,N","40.625606","Sea Beach","-73.996830"
"WHITEHALL STREET","Whitehall St-South Ferry","R,1","40.701938","Broadway","-74.012588"
"219TH ST-WHITE PLAINS ROAD","219 St","2,5","40.883439","White Plains","-73.862743"
"PROSPECT AVENUE-WESTCHESTER","Prospect Av","2,5","40.819368","White Plains","-73.901966"
"SHEPHERD AVE-PITKIN AVE","Shepherd Av","A,C","40.673970","Fulton Street","-73.880667"
"23RD STREET-6TH AVENUE","23 St","F,M","40.742825","6th Avenue","-73.992383"
"40TH STREET-LOWERY STREET","40 St-Lowery St","7","40.743882","Flushing","-73.924112"
"NEW LOTS AV-VAN SINDEREN AV","New Lots Av","L","40.659041","Canarsie","-73.899409"
"AVENUE N-MCDONALD AVENUE","Avenue N","F","40.614304","Culver","-73.973910"
"145TH STREET","145 St","A,B,C,D","40.823791","8th Avenue","-73.944726"
"50TH STREET & 7TH AVENUE","50 St","1","40.761212","7th Ave-Bway","-73.983357"
"KINGSBRIDGE RD-JEROME AVE","Kingsbridge Rd","4","40.867766","Jerome","-73.897039"
"HIGH ST-CADMAN PLAZA WEST","High St","A,C","40.699405","8th Avenue","-73.991413"
"HUDSON STREET-78TH STREET","80 St","A","40.679361","Liberty Avenue","-73.860284"
"CITY HALL","City Hall","R","40.713521","Broadway","-74.006697"
"61ST STREET-ROOSEVELT AVE","Woodside-61 St","7","40.745717","Flushing","-73.903063"
"135TH STREET-ST NICHOLAS AV","135 St","B,C","40.816892","8th Avenue","-73.947818"
"53RD STREET-4TH AVENUE","53 St","R","40.645619","4th Avenue","-74.013688"
"25TH AVENUE-86TH STREET","25 Av","D","40.597889","West End","-73.986958"
"238TH ST-WHITE PLAINS ROAD","Nereid Av","2,5","40.898323","White Plains","-73.854288"
"FRANKLIN AVE/EASTERN PKWY","Franklin Av","FS,2,3,4,5","40.670732","Eastern Parkway","-73.957696"
"36TH STREET-4TH AVENUE","36 St","N,R","40.654365","4th Avenue","-74.004113"
