05/11/13,01:10 PM,01:10 PM,Pirates at Mets,Citi Field,"Local TV: WPIX ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",05/11/13,05/11/13,04:10 PM,04:10 PM,FALSE,TRUE,05/11/13,12:10 PM,12:10 PM,FREE,BUSY
05/12/13,01:10 PM,01:10 PM,Pirates at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/12/13,05/12/13,04:10 PM,04:10 PM,FALSE,TRUE,05/12/13,12:10 PM,12:10 PM,FREE,BUSY
05/20/13,07:10 PM,07:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/20/13,05/20/13,10:10 PM,10:10 PM,FALSE,TRUE,05/20/13,06:10 PM,06:10 PM,FREE,BUSY
05/21/13,07:10 PM,07:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",05/21/13,05/21/13,10:10 PM,10:10 PM,FALSE,TRUE,05/21/13,06:10 PM,06:10 PM,FREE,BUSY
05/22/13,01:10 PM,01:10 PM,Reds at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/22/13,05/22/13,04:10 PM,04:10 PM,FALSE,TRUE,05/22/13,12:10 PM,12:10 PM,FREE,BUSY
05/24/13,07:10 PM,07:10 PM,Braves at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/24/13,05/24/13,10:10 PM,10:10 PM,FALSE,TRUE,05/24/13,06:10 PM,06:10 PM,FREE,BUSY
05/25/13,07:25 PM,07:25 PM,Braves at Mets,Citi Field,"Local TV: FOX ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/25/13,05/25/13,10:25 PM,10:25 PM,FALSE,TRUE,05/25/13,06:25 PM,06:25 PM,FREE,BUSY
05/26/13,08:05 PM,08:05 PM,Braves at Mets,Citi Field,"Local TV: ESPN ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/26/13,05/26/13,11:05 PM,11:05 PM,FALSE,TRUE,05/26/13,07:05 PM,07:05 PM,FREE,BUSY
05/27/13,07:10 PM,07:10 PM,Yankees at Mets,Citi Field,"Local TV: WPIX -- MLBN ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",05/27/13,05/27/13,10:10 PM,10:10 PM,FALSE,TRUE,05/27/13,06:10 PM,06:10 PM,FREE,BUSY
05/28/13,07:10 PM,07:10 PM,Yankees at Mets,Citi Field,"Local TV: SNY -- ESPN ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",05/28/13,05/28/13,10:10 PM,10:10 PM,FALSE,TRUE,05/28/13,06:10 PM,06:10 PM,FREE,BUSY
06/08/13,01:10 PM,01:10 PM,Marlins at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",06/08/13,06/08/13,04:10 PM,04:10 PM,FALSE,TRUE,06/08/13,12:10 PM,12:10 PM,FREE,BUSY
06/09/13,01:10 PM,01:10 PM,Marlins at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",06/09/13,06/09/13,04:10 PM,04:10 PM,FALSE,TRUE,06/09/13,12:10 PM,12:10 PM,FREE,BUSY
06/11/13,07:10 PM,07:10 PM,Cardinals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM",06/11/13,06/11/13,10:10 PM,10:10 PM,FALSE,TRUE,06/11/13,06:10 PM,06:10 PM,FREE,BUSY
06/12/13,07:10 PM,07:10 PM,Cardinals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",06/12/13,06/12/13,10:10 PM,10:10 PM,FALSE,TRUE,06/12/13,06:10 PM,06:10 PM,FREE,BUSY
06/13/13,01:10 PM,01:10 PM,Cardinals at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",06/13/13,06/13/13,04:10 PM,04:10 PM,FALSE,TRUE,06/13/13,12:10 PM,12:10 PM,FREE,BUSY
06/14/13,07:10 PM,07:10 PM,Cubs at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",06/14/13,06/14/13,10:10 PM,10:10 PM,FALSE,TRUE,06/14/13,06:10 PM,06:10 PM,FREE,BUSY
06/15/13,01:10 PM,01:10 PM,Cubs at Mets,Citi Field,"Local TV: WPIX ----- Local Radio: WFAN 660/101.9 FM -- WEPN 1050",06/15/13,06/15/13,04:10 PM,04:10 PM,FALSE,TRUE,06/15/13,12:10 PM,12:10 PM,FREE,BUSY
06/16/13,01:10 PM,01:10 PM,Cubs at Mets,Citi Field,"Local TV: SNY ----- Local Radio: WEPN 1050 -- WFAN 660/101.9 FM",06/16/13,06/16/13,04:10 PM,04:10 PM,FALSE,TRUE,06/16/13,12:10 PM,12:10 PM,FREE,BUSY
