05/14/13,07:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WADO 1280 -- WCBS 880",05/14/13,05/14/13,10:05 PM,10:05 PM,FALSE,TRUE,05/14/13,06:05 PM,06:05 PM,FREE,BUSY
05/15/13,07:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WADO 1280 -- WCBS 880",05/15/13,05/15/13,10:05 PM,10:05 PM,FALSE,TRUE,05/15/13,06:05 PM,06:05 PM,FREE,BUSY
05/16/13,07:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WCBS 880 -- WADO 1280",05/16/13,05/16/13,10:05 PM,10:05 PM,FALSE,TRUE,05/16/13,06:05 PM,06:05 PM,FREE,BUSY
05/17/13,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium,"Local TV: MY9 ----- Local Radio: WCBS 880 -- WADO 1280",05/17/13,05/17/13,10:05 PM,10:05 PM,FALSE,TRUE,05/17/13,06:05 PM,06:05 PM,FREE,BUSY
05/18/13,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WCBS 880 -- WADO 1280",05/18/13,05/18/13,04:05 PM,04:05 PM,FALSE,TRUE,05/18/13,12:05 PM,12:05 PM,FREE,BUSY
05/29/13,07:05 PM,07:05 PM,Mets at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WCBS 880 -- WADO 1280",05/29/13,05/29/13,10:05 PM,10:05 PM,FALSE,TRUE,05/29/13,06:05 PM,06:05 PM,FREE,BUSY
05/30/13,07:05 PM,07:05 PM,Mets at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WADO 1280 -- WCBS 880",05/30/13,05/30/13,10:05 PM,10:05 PM,FALSE,TRUE,05/30/13,06:05 PM,06:05 PM,FREE,BUSY
05/31/13,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WCBS 880 -- WADO 1280",05/31/13,05/31/13,10:05 PM,10:05 PM,FALSE,TRUE,05/31/13,06:05 PM,06:05 PM,FREE,BUSY
06/01/13,07:15 PM,07:15 PM,Red Sox at Yankees,Yankee Stadium,"Local TV: FOX ----- Local Radio: WCBS 880 -- WADO 1280",06/01/13,06/01/13,10:15 PM,10:15 PM,FALSE,TRUE,06/01/13,06:15 PM,06:15 PM,FREE,BUSY
06/02/13,08:00 PM,08:00 PM,Red Sox at Yankees,Yankee Stadium,"Local TV: ESPN ----- Local Radio: WADO 1280 -- WCBS 880",06/02/13,06/02/13,11:00 PM,11:00 PM,FALSE,TRUE,06/02/13,07:00 PM,07:00 PM,FREE,BUSY
06/03/13,07:05 PM,07:05 PM,Indians at Yankees,Yankee Stadium,"Local TV: ESPN -- YES ----- Local Radio: WCBS 880 -- WADO 1280",06/03/13,06/03/13,10:05 PM,10:05 PM,FALSE,TRUE,06/03/13,06:05 PM,06:05 PM,FREE,BUSY
06/04/13,07:05 PM,07:05 PM,Indians at Yankees,Yankee Stadium,"Local TV: YES -- MLBN ----- Local Radio: WADO 1280 -- WCBS 880",06/04/13,06/04/13,10:05 PM,10:05 PM,FALSE,TRUE,06/04/13,06:05 PM,06:05 PM,FREE,BUSY
06/05/13,01:05 PM,01:05 PM,Indians at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WADO 1280 -- WCBS 880",06/05/13,06/05/13,04:05 PM,04:05 PM,FALSE,TRUE,06/05/13,12:05 PM,12:05 PM,FREE,BUSY
06/19/13,01:05 PM,01:05 PM,Dodgers at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WADO 1280 -- WCBS 880",06/19/13,06/19/13,04:05 PM,04:05 PM,FALSE,TRUE,06/19/13,12:05 PM,12:05 PM,FREE,BUSY
06/19/13,07:05 PM,07:05 PM,Dodgers at Yankees,Yankee Stadium,"Local TV: ESPN2 -- MY9 ----- Local Radio: WCBS 880 -- WADO 1280",06/19/13,06/19/13,10:05 PM,10:05 PM,FALSE,TRUE,06/19/13,06:05 PM,06:05 PM,FREE,BUSY
06/20/13,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium,"Local TV: YES ----- Local Radio: WADO 1280 -- WCBS 880",06/20/13,06/20/13,10:05 PM,10:05 PM,FALSE,TRUE,06/20/13,06:05 PM,06:05 PM,FREE,BUSY
06/21/13,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium,"Local TV: MY9 ----- Local Radio: WADO 1280 -- WCBS 880",06/21/13,06/21/13,10:05 PM,10:05 PM,FALSE,TRUE,06/21/13,06:05 PM,06:05 PM,FREE,BUSY
06/22/13,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium,"Local TV: YES -- MLBN ----- Local Radio: WCBS 880 -- WADO 1280",06/22/13,06/22/13,04:05 PM,04:05 PM,FALSE,TRUE,06/22/13,12:05 PM,12:05 PM,FREE,BUSY
06/23/13,02:05 PM,02:05 PM,Rays at Yankees,Yankee Stadium,"Local TV: YES -- TBS ----- Local Radio: WADO 1280 -- WCBS 880",06/23/13,06/23/13,05:05 PM,05:05 PM,FALSE,TRUE,06/23/13,01:05 PM,01:05 PM,FREE,BUSY
06/25/13,07:05 PM,07:05 PM,Rangers at Yankees,Yankee Stadium,"Local TV: MY9 -- MLBN ----- Local Radio: WCBS 880 -- WADO 1280",06/25/13,06/25/13,10:05 PM,10:05 PM,FALSE,TRUE,06/25/13,06:05 PM,06:05 PM,FREE,BUSY
06/26/13,07:05 PM,07:05 PM,Rangers at Yankees,Yankee Stadium,"Local TV: ESPN -- YES ----- Local Radio: WCBS 880 -- WADO 1280",06/26/13,06/26/13,10:05 PM,10:05 PM,FALSE,TRUE,06/26/13,06:05 PM,06:05 PM,FREE,BUSY
06/27/13,01:05 PM,01:05 PM,Rangers at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WADO 1280 -- WCBS 880",06/27/13,06/27/13,04:05 PM,04:05 PM,FALSE,TRUE,06/27/13,12:05 PM,12:05 PM,FREE,BUSY
07/05/13,07:05 PM,07:05 PM,Orioles at Yankees,Yankee Stadium,"Local TV: MLBN -- YES ----- Local Radio: WADO 1280 -- WCBS 880",07/05/13,07/05/13,10:05 PM,10:05 PM,FALSE,TRUE,07/05/13,06:05 PM,06:05 PM,FREE,BUSY
07/06/13,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium,"Local TV: YES -- MLBN ----- Local Radio: WADO 1280 -- WCBS 880",07/06/13,07/06/13,04:05 PM,04:05 PM,FALSE,TRUE,07/06/13,12:05 PM,12:05 PM,FREE,BUSY
