p_nta_code,p_nta_name,d_nta_code,d_nta_name,num_trips
MN17,Midtown-Midtown South,MN17,Midtown-Midtown South,6608826
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN17,Midtown-Midtown South,2994765
MN17,Midtown-Midtown South,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2947297
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2646002
MN40,Upper East Side-Carnegie Hill,MN40,Upper East Side-Carnegie Hill,2613937
MN19,Turtle Bay-East Midtown,MN17,Midtown-Midtown South,2221918
MN17,Midtown-Midtown South,MN19,Turtle Bay-East Midtown,1907089
MN40,Upper East Side-Carnegie Hill,MN17,Midtown-Midtown South,1800187
MN23,West Village,MN17,Midtown-Midtown South,1737676
MN23,West Village,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1731979
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN23,West Village,1698952
MN17,Midtown-Midtown South,MN40,Upper East Side-Carnegie Hill,1696477
MN12,Upper West Side,MN12,Upper West Side,1666660
MN15,Clinton,MN17,Midtown-Midtown South,1555708
MN23,West Village,MN23,West Village,1551236
MN20,Murray Hill-Kips Bay,MN17,Midtown-Midtown South,1522694
MN17,Midtown-Midtown South,MN20,Murray Hill-Kips Bay,1511149
MN17,Midtown-Midtown South,MN23,West Village,1480364
MN17,Midtown-Midtown South,MN15,Clinton,1455425
MN23,West Village,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1273370
MN14,Lincoln Square,MN17,Midtown-Midtown South,1218172
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN17,Midtown-Midtown South,1175730
MN19,Turtle Bay-East Midtown,MN19,Turtle Bay-East Midtown,1168868
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN23,West Village,1118139
MN17,Midtown-Midtown South,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1105645
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1095404
MN17,Midtown-Midtown South,MN14,Lincoln Square,1044415
MN40,Upper East Side-Carnegie Hill,MN19,Turtle Bay-East Midtown,1010809
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1010767
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004172
MN15,Clinton,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,987826
MN31,Lenox Hill-Roosevelt Island,MN17,Midtown-Midtown South,961428
MN14,Lincoln Square,MN12,Upper West Side,959093
MN31,Lenox Hill-Roosevelt Island,MN40,Upper East Side-Carnegie Hill,957197
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN15,Clinton,948252
MN12,Upper West Side,MN14,Lincoln Square,939251
MN17,Midtown-Midtown South,MN31,Lenox Hill-Roosevelt Island,934315
MN12,Upper West Side,MN17,Midtown-Midtown South,909059
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN20,Murray Hill-Kips Bay,906666
MN40,Upper East Side-Carnegie Hill,MN31,Lenox Hill-Roosevelt Island,896384
MN17,Midtown-Midtown South,MN12,Upper West Side,890915
MN19,Turtle Bay-East Midtown,MN40,Upper East Side-Carnegie Hill,871286
MN31,Lenox Hill-Roosevelt Island,MN19,Turtle Bay-East Midtown,845152
MN19,Turtle Bay-East Midtown,MN31,Lenox Hill-Roosevelt Island,837399
MN40,Upper East Side-Carnegie Hill,MN12,Upper West Side,833350
MN19,Turtle Bay-East Midtown,MN20,Murray Hill-Kips Bay,819725
MN12,Upper West Side,MN40,Upper East Side-Carnegie Hill,805492
MN20,Murray Hill-Kips Bay,MN19,Turtle Bay-East Midtown,786963
MN19,Turtle Bay-East Midtown,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,782682
MN20,Murray Hill-Kips Bay,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,771535
MN40,Upper East Side-Carnegie Hill,MN32,Yorkville,744215
MN32,Yorkville,MN40,Upper East Side-Carnegie Hill,726160
MN17,Midtown-Midtown South,MN25,Battery Park City-Lower Manhattan,726123
MN21,Gramercy,MN17,Midtown-Midtown South,722482
LGA,La Guardia Airport,MN17,Midtown-Midtown South,682144
MN15,Clinton,MN15,Clinton,671311
MN31,Lenox Hill-Roosevelt Island,MN31,Lenox Hill-Roosevelt Island,653602
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN19,Turtle Bay-East Midtown,649712
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN25,Battery Park City-Lower Manhattan,638381
MN23,West Village,MN22,East Village,633814
MN25,Battery Park City-Lower Manhattan,MN17,Midtown-Midtown South,629225
MN22,East Village,MN23,West Village,623412
MN22,East Village,MN17,Midtown-Midtown South,607404
MN17,Midtown-Midtown South,MN21,Gramercy,602541
MN14,Lincoln Square,MN14,Lincoln Square,597931
MN17,Midtown-Midtown South,MN32,Yorkville,595984
MN14,Lincoln Square,MN40,Upper East Side-Carnegie Hill,587055
MN31,Lenox Hill-Roosevelt Island,MN32,Yorkville,586964
MN40,Upper East Side-Carnegie Hill,MN14,Lincoln Square,582549
MN25,Battery Park City-Lower Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,582470
MN23,West Village,MN20,Murray Hill-Kips Bay,582392
MN20,Murray Hill-Kips Bay,MN20,Murray Hill-Kips Bay,569763
MN32,Yorkville,MN31,Lenox Hill-Roosevelt Island,563474
MN22,East Village,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,555485
MN32,Yorkville,MN17,Midtown-Midtown South,551793
MN17,Midtown-Midtown South,MN22,East Village,541979
MN17,Midtown-Midtown South,LGA,La Guardia Airport,535905
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN22,East Village,533898
MN23,West Village,MN25,Battery Park City-Lower Manhattan,529517
MN99,park-cemetery-etc-Manhattan,MN17,Midtown-Midtown South,510607
MN21,Gramercy,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,494450
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN25,Battery Park City-Lower Manhattan,487680
MN20,Murray Hill-Kips Bay,MN23,West Village,487068
MN19,Turtle Bay-East Midtown,MN32,Yorkville,474771
MN19,Turtle Bay-East Midtown,MN23,West Village,470359
MN21,Gramercy,MN20,Murray Hill-Kips Bay,468139
MN14,Lincoln Square,MN15,Clinton,453802
MN15,Clinton,MN14,Lincoln Square,447002
MN17,Midtown-Midtown South,MN99,park-cemetery-etc-Manhattan,442797
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN40,Upper East Side-Carnegie Hill,441015
MN32,Yorkville,MN19,Turtle Bay-East Midtown,440655
MN12,Upper West Side,MN09,Morningside Heights,438068
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN21,Gramercy,437583
MN23,West Village,MN19,Turtle Bay-East Midtown,434728
MN40,Upper East Side-Carnegie Hill,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,429706
MN32,Yorkville,MN32,Yorkville,414770
MN14,Lincoln Square,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,413455
MN25,Battery Park City-Lower Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,411841
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN14,Lincoln Square,408197
MN25,Battery Park City-Lower Manhattan,MN25,Battery Park City-Lower Manhattan,407498
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN22,East Village,405080
MN23,West Village,MN15,Clinton,404343
MN21,Gramercy,MN19,Turtle Bay-East Midtown,400324
MN21,Gramercy,MN23,West Village,398846
MN22,East Village,MN20,Murray Hill-Kips Bay,395927
MN22,East Village,MN24,SoHo-TriBeCa-Civic Center-Little Italy,394703
JFK,John F Kennedy International Airport,MN17,Midtown-Midtown South,394308
MN15,Clinton,MN12,Upper West Side,393072
MN15,Clinton,MN23,West Village,389146
MN23,West Village,MN21,Gramercy,387992
MN19,Turtle Bay-East Midtown,MN21,Gramercy,384655
MN25,Battery Park City-Lower Manhattan,MN23,West Village,381791
MN09,Morningside Heights,MN12,Upper West Side,377179
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN12,Upper West Side,376712
MN19,Turtle Bay-East Midtown,MN15,Clinton,370593
MN15,Clinton,MN19,Turtle Bay-East Midtown,353444
MN20,Murray Hill-Kips Bay,MN40,Upper East Side-Carnegie Hill,352362
MN22,East Village,MN22,East Village,350338
MN20,Murray Hill-Kips Bay,MN22,East Village,347638
MN20,Murray Hill-Kips Bay,MN21,Gramercy,345991
MN14,Lincoln Square,MN19,Turtle Bay-East Midtown,342467
MN20,Murray Hill-Kips Bay,MN31,Lenox Hill-Roosevelt Island,337218
MN12,Upper West Side,MN15,Clinton,336474
MN19,Turtle Bay-East Midtown,MN24,SoHo-TriBeCa-Civic Center-Little Italy,331789
MN22,East Village,MN19,Turtle Bay-East Midtown,329688
MN40,Upper East Side-Carnegie Hill,MN20,Murray Hill-Kips Bay,328965
MN23,West Village,MN27,Chinatown,328267
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN20,Murray Hill-Kips Bay,326391
MN12,Upper West Side,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,325322
MN40,Upper East Side-Carnegie Hill,MN99,park-cemetery-etc-Manhattan,315257
MN19,Turtle Bay-East Midtown,MN14,Lincoln Square,310077
MN19,Turtle Bay-East Midtown,MN22,East Village,309312
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN27,Chinatown,307110
LGA,La Guardia Airport,MN19,Turtle Bay-East Midtown,306674
MN19,Turtle Bay-East Midtown,MN25,Battery Park City-Lower Manhattan,305224
MN99,park-cemetery-etc-Manhattan,MN40,Upper East Side-Carnegie Hill,304109
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN19,Turtle Bay-East Midtown,303588
MN31,Lenox Hill-Roosevelt Island,MN20,Murray Hill-Kips Bay,298069
MN20,Murray Hill-Kips Bay,MN24,SoHo-TriBeCa-Civic Center-Little Italy,289705
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN31,Lenox Hill-Roosevelt Island,287717
MN27,Chinatown,MN23,West Village,287473
MN23,West Village,MN40,Upper East Side-Carnegie Hill,281900
MN19,Turtle Bay-East Midtown,MN12,Upper West Side,279102
MN40,Upper East Side-Carnegie Hill,MN33,East Harlem South,279076
MN17,Midtown-Midtown South,JFK,John F Kennedy International Airport,278910
MN25,Battery Park City-Lower Manhattan,MN19,Turtle Bay-East Midtown,272177
MN12,Upper West Side,MN32,Yorkville,271670
MN22,East Village,MN21,Gramercy,268552
MN12,Upper West Side,MN19,Turtle Bay-East Midtown,264370
MN40,Upper East Side-Carnegie Hill,MN23,West Village,262756
MN12,Upper West Side,MN31,Lenox Hill-Roosevelt Island,262234
MN27,Chinatown,MN17,Midtown-Midtown South,261629
MN14,Lincoln Square,MN31,Lenox Hill-Roosevelt Island,260723
MN31,Lenox Hill-Roosevelt Island,MN12,Upper West Side,258386
MN32,Yorkville,MN12,Upper West Side,256033
MN31,Lenox Hill-Roosevelt Island,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,255758
MN15,Clinton,MN40,Upper East Side-Carnegie Hill,255168
MN17,Midtown-Midtown South,MN27,Chinatown,251144
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN27,Chinatown,247920
MN15,Clinton,MN20,Murray Hill-Kips Bay,247916
MN15,Clinton,MN24,SoHo-TriBeCa-Civic Center-Little Italy,238114
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN15,Clinton,233838
MN21,Gramercy,MN22,East Village,232901
MN27,Chinatown,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,232595
MN27,Chinatown,MN22,East Village,231684
MN31,Lenox Hill-Roosevelt Island,MN14,Lincoln Square,231206
MN21,Gramercy,MN24,SoHo-TriBeCa-Civic Center-Little Italy,230861
MN19,Turtle Bay-East Midtown,LGA,La Guardia Airport,229210
MN27,Chinatown,MN24,SoHo-TriBeCa-Civic Center-Little Italy,228214
MN20,Murray Hill-Kips Bay,MN15,Clinton,225598
MN22,East Village,MN27,Chinatown,223681
MN99,park-cemetery-etc-Manhattan,MN12,Upper West Side,221969
MN40,Upper East Side-Carnegie Hill,MN15,Clinton,220676
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN21,Gramercy,219187
MN23,West Village,MN12,Upper West Side,218320
MN20,Murray Hill-Kips Bay,MN25,Battery Park City-Lower Manhattan,215295
MN12,Upper West Side,MN99,park-cemetery-etc-Manhattan,209862
MN23,West Village,MN14,Lincoln Square,209620
MN23,West Village,MN31,Lenox Hill-Roosevelt Island,205710
MN20,Murray Hill-Kips Bay,MN32,Yorkville,197242
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN32,Yorkville,193540
MN22,East Village,MN25,Battery Park City-Lower Manhattan,189338
MN14,Lincoln Square,MN23,West Village,188443
MN21,Gramercy,MN21,Gramercy,186179
MN99,park-cemetery-etc-Manhattan,MN99,park-cemetery-etc-Manhattan,181443
MN23,West Village,MN28,Lower East Side,179694
MN32,Yorkville,MN33,East Harlem South,178945
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN40,Upper East Side-Carnegie Hill,174922
MN40,Upper East Side-Carnegie Hill,MN24,SoHo-TriBeCa-Civic Center-Little Italy,172176
MN33,East Harlem South,MN40,Upper East Side-Carnegie Hill,170158
MN22,East Village,MN28,Lower East Side,168903
BK73,North Side-South Side,BK73,North Side-South Side,167673
MN25,Battery Park City-Lower Manhattan,MN20,Murray Hill-Kips Bay,167345
MN31,Lenox Hill-Roosevelt Island,MN23,West Village,166727
MN27,Chinatown,MN25,Battery Park City-Lower Manhattan,166622
MN25,Battery Park City-Lower Manhattan,MN27,Chinatown,165417
MN15,Clinton,MN25,Battery Park City-Lower Manhattan,164747
MN09,Morningside Heights,MN09,Morningside Heights,164141
MN14,Lincoln Square,MN32,Yorkville,164039
MN99,park-cemetery-etc-Manhattan,MN14,Lincoln Square,163664
MN15,Clinton,MN31,Lenox Hill-Roosevelt Island,162650
LGA,La Guardia Airport,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,161609
MN32,Yorkville,MN20,Murray Hill-Kips Bay,159852
MN21,Gramercy,MN31,Lenox Hill-Roosevelt Island,157802
MN14,Lincoln Square,MN99,park-cemetery-etc-Manhattan,157331
MN17,Midtown-Midtown South,MN33,East Harlem South,156328
MN17,Midtown-Midtown South,MN09,Morningside Heights,156186
QN31,Hunters Point-Sunnyside-West Maspeth,QN31,Hunters Point-Sunnyside-West Maspeth,155868
LGA,La Guardia Airport,MN20,Murray Hill-Kips Bay,154702
MN32,Yorkville,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,154638
MN14,Lincoln Square,MN20,Murray Hill-Kips Bay,152522
MN25,Battery Park City-Lower Manhattan,MN22,East Village,152507
MN32,Yorkville,MN14,Lincoln Square,152105
MN21,Gramercy,MN40,Upper East Side-Carnegie Hill,149487
MN14,Lincoln Square,MN09,Morningside Heights,149135
MN27,Chinatown,MN20,Murray Hill-Kips Bay,148181
MN25,Battery Park City-Lower Manhattan,MN15,Clinton,146557
MN22,East Village,MN31,Lenox Hill-Roosevelt Island,146193
MN12,Upper West Side,MN23,West Village,145932
JFK,John F Kennedy International Airport,MN19,Turtle Bay-East Midtown,145202
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN28,Lower East Side,142880
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK73,North Side-South Side,142662
MN17,Midtown-Midtown South,MN28,Lower East Side,141188
MN22,East Village,MN15,Clinton,140847
MN20,Murray Hill-Kips Bay,MN14,Lincoln Square,139503
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN28,Lower East Side,139318
LGA,La Guardia Airport,MN25,Battery Park City-Lower Manhattan,139151
MN23,West Village,MN32,Yorkville,137861
MN27,Chinatown,MN27,Chinatown,136929
MN40,Upper East Side-Carnegie Hill,MN34,East Harlem North,135960
MN12,Upper West Side,MN33,East Harlem South,135209
MN27,Chinatown,MN19,Turtle Bay-East Midtown,134768
MN27,Chinatown,BK73,North Side-South Side,134351
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN31,Lenox Hill-Roosevelt Island,133484
MN19,Turtle Bay-East Midtown,MN99,park-cemetery-etc-Manhattan,132537
MN20,Murray Hill-Kips Bay,MN12,Upper West Side,131690
LGA,La Guardia Airport,MN12,Upper West Side,131121
MN31,Lenox Hill-Roosevelt Island,MN15,Clinton,130938
MN40,Upper East Side-Carnegie Hill,MN21,Gramercy,129806
MN32,Yorkville,MN34,East Harlem North,129146
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN14,Lincoln Square,128237
JFK,John F Kennedy International Airport,JFK,John F Kennedy International Airport,127727
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN12,Upper West Side,127156
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,LGA,La Guardia Airport,126289
MN15,Clinton,MN22,East Village,126173
MN17,Midtown-Midtown South,QN31,Hunters Point-Sunnyside-West Maspeth,125958
MN20,Murray Hill-Kips Bay,MN27,Chinatown,125670
MN09,Morningside Heights,MN17,Midtown-Midtown South,125276
MN23,West Village,BK73,North Side-South Side,125067
MN14,Lincoln Square,MN24,SoHo-TriBeCa-Civic Center-Little Italy,122956
MN09,Morningside Heights,MN14,Lincoln Square,122029
MN31,Lenox Hill-Roosevelt Island,MN21,Gramercy,121476
MN31,Lenox Hill-Roosevelt Island,MN25,Battery Park City-Lower Manhattan,121295
MN33,East Harlem South,MN12,Upper West Side,120992
MN40,Upper East Side-Carnegie Hill,MN09,Morningside Heights,120456
MN99,park-cemetery-etc-Manhattan,MN19,Turtle Bay-East Midtown,119888
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN99,park-cemetery-etc-Manhattan,119573
MN12,Upper West Side,MN11,Central Harlem South,119148
MN12,Upper West Side,MN20,Murray Hill-Kips Bay,118728
LGA,La Guardia Airport,MN15,Clinton,118668
BK73,North Side-South Side,BK76,Greenpoint,118430
MN27,Chinatown,MN21,Gramercy,118064
MN17,Midtown-Midtown South,QN70,Astoria,117481
MN31,Lenox Hill-Roosevelt Island,MN33,East Harlem South,115516
MN31,Lenox Hill-Roosevelt Island,MN99,park-cemetery-etc-Manhattan,115126
MN21,Gramercy,MN25,Battery Park City-Lower Manhattan,115032
MN31,Lenox Hill-Roosevelt Island,MN24,SoHo-TriBeCa-Civic Center-Little Italy,114694
MN19,Turtle Bay-East Midtown,MN27,Chinatown,114202
MN20,Murray Hill-Kips Bay,LGA,La Guardia Airport,113297
MN15,Clinton,MN32,Yorkville,112936
MN31,Lenox Hill-Roosevelt Island,MN22,East Village,112761
MN99,park-cemetery-etc-Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,112149
MN21,Gramercy,MN15,Clinton,110848
JFK,John F Kennedy International Airport,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,109728
MN22,East Village,MN32,Yorkville,109316
MN15,Clinton,MN99,park-cemetery-etc-Manhattan,108791
MN09,Morningside Heights,MN40,Upper East Side-Carnegie Hill,108298
MN21,Gramercy,MN27,Chinatown,108188
MN27,Chinatown,MN28,Lower East Side,107648
MN19,Turtle Bay-East Midtown,JFK,John F Kennedy International Airport,107283
MN40,Upper East Side-Carnegie Hill,MN25,Battery Park City-Lower Manhattan,106685
LGA,La Guardia Airport,MN24,SoHo-TriBeCa-Civic Center-Little Italy,106329
MN33,East Harlem South,MN17,Midtown-Midtown South,106026
MN22,East Village,MN40,Upper East Side-Carnegie Hill,104295
LGA,La Guardia Airport,MN31,Lenox Hill-Roosevelt Island,103739
MN15,Clinton,MN21,Gramercy,103526
MN22,East Village,BK73,North Side-South Side,103215
LGA,La Guardia Airport,MN23,West Village,102299
MN28,Lower East Side,MN23,West Village,101198
MN17,Midtown-Midtown South,MN50,Stuyvesant Town-Cooper Village,101152
MN21,Gramercy,MN32,Yorkville,98689
MN33,East Harlem South,MN32,Yorkville,97509
MN32,Yorkville,MN23,West Village,96867
JFK,John F Kennedy International Airport,MN20,Murray Hill-Kips Bay,96792
LGA,La Guardia Airport,MN40,Upper East Side-Carnegie Hill,96576
MN99,park-cemetery-etc-Manhattan,MN31,Lenox Hill-Roosevelt Island,95871
MN25,Battery Park City-Lower Manhattan,LGA,La Guardia Airport,94076
LGA,La Guardia Airport,MN32,Yorkville,93806
MN12,Upper West Side,MN24,SoHo-TriBeCa-Civic Center-Little Italy,93802
MN12,Upper West Side,MN34,East Harlem North,93220
MN17,Midtown-Midtown South,BK73,North Side-South Side,92447
MN25,Battery Park City-Lower Manhattan,MN31,Lenox Hill-Roosevelt Island,92367
MN12,Upper West Side,LGA,La Guardia Airport,91549
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK73,North Side-South Side,91452
MN40,Upper East Side-Carnegie Hill,LGA,La Guardia Airport,91442
MN15,Clinton,LGA,La Guardia Airport,88958
MN32,Yorkville,MN99,park-cemetery-etc-Manhattan,88647
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,88644
JFK,John F Kennedy International Airport,MN15,Clinton,88368
MN17,Midtown-Midtown South,MN11,Central Harlem South,88309
LGA,La Guardia Airport,MN14,Lincoln Square,86877
MN19,Turtle Bay-East Midtown,MN33,East Harlem South,86852
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN32,Yorkville,86510
MN50,Stuyvesant Town-Cooper Village,MN17,Midtown-Midtown South,85916
MN22,East Village,MN12,Upper West Side,84465
MN12,Upper West Side,MN36,Washington Heights South,84416
MN40,Upper East Side-Carnegie Hill,MN22,East Village,83954
MN20,Murray Hill-Kips Bay,MN28,Lower East Side,83063
MN32,Yorkville,MN15,Clinton,83053
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN50,Stuyvesant Town-Cooper Village,82843
MN25,Battery Park City-Lower Manhattan,MN21,Gramercy,82485
JFK,John F Kennedy International Airport,MN12,Upper West Side,81995
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,JFK,John F Kennedy International Airport,81348
MN99,park-cemetery-etc-Manhattan,MN32,Yorkville,80575
MN33,East Harlem South,MN34,East Harlem North,80107
MN28,Lower East Side,MN17,Midtown-Midtown South,79464
MN25,Battery Park City-Lower Manhattan,MN40,Upper East Side-Carnegie Hill,79050
MN28,Lower East Side,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,78837
MN33,East Harlem South,MN33,East Harlem South,78779
JFK,John F Kennedy International Airport,MN24,SoHo-TriBeCa-Civic Center-Little Italy,78754
MN28,Lower East Side,MN22,East Village,78509
MN14,Lincoln Square,MN25,Battery Park City-Lower Manhattan,78137
JFK,John F Kennedy International Airport,MN23,West Village,77998
BK73,North Side-South Side,BK90,East Williamsburg,77830
MN17,Midtown-Midtown South,MN34,East Harlem North,77655
MN31,Lenox Hill-Roosevelt Island,LGA,La Guardia Airport,76400
MN25,Battery Park City-Lower Manhattan,MN28,Lower East Side,76364
MN19,Turtle Bay-East Midtown,QN31,Hunters Point-Sunnyside-West Maspeth,75639
MN23,West Village,LGA,La Guardia Airport,75370
MN17,Midtown-Midtown South,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,75334
MN99,park-cemetery-etc-Manhattan,MN15,Clinton,75249
MN28,Lower East Side,MN24,SoHo-TriBeCa-Civic Center-Little Italy,74870
MN50,Stuyvesant Town-Cooper Village,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,74549
MN24,SoHo-TriBeCa-Civic Center-Little Italy,LGA,La Guardia Airport,74501
MN23,West Village,MN99,park-cemetery-etc-Manhattan,73656
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,MN09,Morningside Heights,73098
MN32,Yorkville,MN22,East Village,72635
MN32,Yorkville,LGA,La Guardia Airport,71605
QN70,Astoria,QN70,Astoria,71566
MN22,East Village,MN14,Lincoln Square,71172
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK37,Park Slope-Gowanus,71084
MN32,Yorkville,MN21,Gramercy,70973
MN19,Turtle Bay-East Midtown,MN28,Lower East Side,70948
MN20,Murray Hill-Kips Bay,JFK,John F Kennedy International Airport,70803
MN15,Clinton,MN09,Morningside Heights,70784
MN23,West Village,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,70732
MN21,Gramercy,MN28,Lower East Side,70392
MN27,Chinatown,MN15,Clinton,69328
MN23,West Village,BK37,Park Slope-Gowanus,69313
MN33,East Harlem South,MN31,Lenox Hill-Roosevelt Island,68888
MN32,Yorkville,MN25,Battery Park City-Lower Manhattan,68494
MN17,Midtown-Midtown South,BK37,Park Slope-Gowanus,67784
JFK,John F Kennedy International Airport,MN25,Battery Park City-Lower Manhattan,67525
MN11,Central Harlem South,MN12,Upper West Side,67339
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,66744
MN31,Lenox Hill-Roosevelt Island,MN34,East Harlem North,66650
MN14,Lincoln Square,LGA,La Guardia Airport,66514
MN27,Chinatown,MN31,Lenox Hill-Roosevelt Island,66396
MN34,East Harlem North,MN33,East Harlem South,66239
BK37,Park Slope-Gowanus,BK37,Park Slope-Gowanus,65928
MN21,Gramercy,MN12,Upper West Side,65757
MN09,Morningside Heights,MN11,Central Harlem South,65630
MN21,Gramercy,MN14,Lincoln Square,65374
MN32,Yorkville,MN24,SoHo-TriBeCa-Civic Center-Little Italy,65068
MN19,Turtle Bay-East Midtown,QN70,Astoria,65050
MN17,Midtown-Midtown South,MN03,Central Harlem North-Polo Grounds,64484
MN99,park-cemetery-etc-Manhattan,MN23,West Village,63190
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK37,Park Slope-Gowanus,62769
MN15,Clinton,MN27,Chinatown,62756
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,62155
MN20,Murray Hill-Kips Bay,MN99,park-cemetery-etc-Manhattan,62086
MN19,Turtle Bay-East Midtown,MN50,Stuyvesant Town-Cooper Village,61291
MN14,Lincoln Square,MN21,Gramercy,60836
BK73,North Side-South Side,MN27,Chinatown,60793
MN17,Midtown-Midtown South,MN36,Washington Heights South,60326
MN20,Murray Hill-Kips Bay,MN50,Stuyvesant Town-Cooper Village,59786
MN25,Battery Park City-Lower Manhattan,MN14,Lincoln Square,59576
MN12,Upper West Side,MN25,Battery Park City-Lower Manhattan,59317
MN23,West Village,MN50,Stuyvesant Town-Cooper Village,58295
BK73,North Side-South Side,BK78,Bushwick South,57827
MN50,Stuyvesant Town-Cooper Village,MN23,West Village,57276
MN40,Upper East Side-Carnegie Hill,MN11,Central Harlem South,57131
MN09,Morningside Heights,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,57127
LGA,La Guardia Airport,MN21,Gramercy,56802
MN14,Lincoln Square,MN22,East Village,56268
MN12,Upper West Side,MN04,Hamilton Heights,56224
JFK,John F Kennedy International Airport,MN14,Lincoln Square,56219
LGA,La Guardia Airport,LGA,La Guardia Airport,55872
JFK,John F Kennedy International Airport,MN31,Lenox Hill-Roosevelt Island,55612
MN12,Upper West Side,MN03,Central Harlem North-Polo Grounds,55414
MN24,SoHo-TriBeCa-Civic Center-Little Italy,BK09,Brooklyn Heights-Cobble Hill,55379
MN25,Battery Park City-Lower Manhattan,MN12,Upper West Side,55194
MN15,Clinton,JFK,John F Kennedy International Airport,55144
MN09,Morningside Heights,MN34,East Harlem North,54739
MN24,SoHo-TriBeCa-Civic Center-Little Italy,MN99,park-cemetery-etc-Manhattan,54656
