nta_code,nta_name,p_avg_trip_dist,pickups,d_avg_trip_dist,dropoffs,,,,Filter Used,trip_distance between 0 and 50
LGA,La Guardia Airport,9.58,3560295,9.88,2145055,,,,,
MN01,Marble Hill-Inwood,5.17,12150,9.19,116535,,,,,
MN03,Central Harlem North-Polo Grounds,3.33,160216,4.77,551684,,,,,
MN04,Hamilton Heights,4.1,163474,5.25,387717,,,,,
MN06,Manhattanville,3.4,152113,4.01,245243,,,,,
MN09,Morningside Heights,3.03,1638459,3.2,1722976,,,,,
MN11,Central Harlem South,3.09,516565,3.55,839826,,,,,
MN12,Upper West Side,2.41,7923053,2.47,7784603,,,,,
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2.26,16081703,2,14985758,,,,,
MN14,Lincoln Square,2.27,6524540,2.19,5989572,,,,,
MN15,Clinton,2.52,7286398,2.27,6487864,,,,,
MN17,Midtown-Midtown South,2.39,27821069,2.15,27772840,,,,,
MN19,Turtle Bay-East Midtown,2.37,11495350,2.27,10596048,,,,,
MN20,Murray Hill-Kips Bay,2.25,7764207,2.05,7757946,,,,,
MN21,Gramercy,2.23,4542928,2.02,3846797,,,,,
MN22,East Village,2.59,5692974,2.21,4634373,,,,,
MN23,West Village,2.39,12193677,2.08,10379840,,,,,
MN24,SoHo-TriBeCa-Civic Center-Little Italy,2.77,8725891,2.57,7925685,,,,,
MN25,Battery Park City-Lower Manhattan,4.12,4386360,4.11,4825284,,,,,
MN27,Chinatown,2.98,3104222,2.53,2522135,,,,,
MN28,Lower East Side,2.93,960127,2.73,1540072,,,,,
MN31,Lenox Hill-Roosevelt Island,2.38,6729943,2.28,6549074,,,,,
MN32,Yorkville,2.63,4733927,2.6,4792566,,,,,
MN33,East Harlem South,2.73,1175681,2.69,1579861,,,,,
MN34,East Harlem North,3,559563,3.17,1048425,,,,,
MN35,Washington Heights North,4.89,29582,8.12,284541,,,,,
MN36,Washington Heights South,5.03,164876,6.67,560223,,,,,
MN40,Upper East Side-Carnegie Hill,1.99,11689693,1.9,11054347,,,,,
MN50,Stuyvesant Town-Cooper Village,2.5,604479,2.51,698219,,,,,
MN99,park-cemetery-etc-Manhattan,2.28,2332210,2.37,2338567,,,,,
QN01,South Jamaica,12.92,8906,8.72,11622,,,,,
QN02,Springfield Gardens North,6.87,705,7.36,15269,,,,,
QN03,Springfield Gardens South-Brookville,13.47,8560,7.54,26069,,,,,
QN05,Rosedale,7.21,580,9.16,8444,,,,,
QN06,Jamaica Estates-Holliswood,4.86,1060,11.2,20728,,,,,
QN07,Hollis,4.39,249,10.9,4870,,,,,
QN08,St. Albans,6.5,507,9.24,12018,,,,,
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5.22,171,17.84,6214,,,,,
QN12,Hammels-Arverne-Edgemere,6.74,101,16.11,3099,,,,,
