nta_name,nta_name,pickups,pickup_tip_per,dropoffs,dropoff_tip_per,total_trips_CRD,total_trips,avg_tip,diff_dropoff_pickup_tip_percent
BK21,Seagate-Coney Island,145,20.71,2471,14.71,2616,6704,17.71,-6
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,52,18.32,2511,18.31,2563,6487,18.32,-0.01
BX03,Eastchester-Edenwald-Baychester,71,71.73,2115,14.09,2186,5985,42.91,-57.64
QN15,Far Rockaway-Bayswater,28,18.13,1880,15.01,1908,5854,16.57,-3.12
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,583,23.87,2044,22.31,2627,5253,23.09,-1.56
QN07,Hollis,105,20.21,1560,15.88,1665,5221,18.05,-4.33
BK93,Starrett City,54,24.26,1356,13.35,1410,4280,18.81,-10.91
SI05,New Springville-Bloomfield-Travis,153,19.24,2201,20.22,2354,4089,19.73,0.98
SI14,Grasmere-Arrochar-Ft. Wadsworth,95,23.84,1946,23.89,2041,3579,23.87,0.05
QN12,Hammels-Arverne-Edgemere,34,18.04,1240,17.1,1274,3246,17.57,-0.94
SI37,Stapleton-Rosebank,77,36.55,1581,23.33,1658,3147,29.94,-13.22
SI36,Old Town-Dongan Hills-South Beach,45,23.74,1730,21.61,1775,3056,22.68,-2.13
SI22,West New Brighton-New Brighton-St. George,57,19.91,1536,19.81,1593,2847,19.86,-0.1
SI07,Westerleigh,112,30.38,1530,22.57,1642,2687,26.48,-7.81
SI08,Grymes Hill-Clifton-Fox Hills,50,17.64,1046,21.01,1096,2004,19.33,3.37
SI35,New Brighton-Silver Lake,41,21.1,1131,23.15,1172,1934,22.13,2.05
SI45,New Dorp-Midland Beach,26,22.94,1016,22.24,1042,1768,22.59,-0.7
SI54,Great Kills,10,17.82,769,20.65,779,1454,19.24,2.83
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,52,18.24,689,19.95,741,1436,19.1,1.71
SI48,Arden Heights,132,20.95,649,20.83,781,1252,20.89,-0.12
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,32,65.15,562,23.37,594,1126,44.26,-41.78
SI25,Oakwood-Oakwood Beach,9,20.07,547,22.31,556,981,21.19,2.24
SI28,Port Richmond,15,20.46,385,21.1,400,831,20.78,0.64
SI11,Charleston-Richmond Valley-Tottenville,11,68.48,411,22.55,422,714,45.52,-45.93
SI32,Rossville-Woodrow,9,16.14,416,19.95,425,698,18.05,3.81
BX98,Rikers Island,122,21.16,131,21.02,253,471,21.09,-0.14
SI99,park-cemetery-etc-Staten Island,2,19.73,8,12.41,10,21,16.07,-7.32
