nta_code,nta_name,Households,MedianIncome,MedInc_per_Household,pickups,dropoffs,total_trips,dropoffs/pikups,percetage_of_taxi_activity
QN44,Glen Oaks-Floral Park-New Hyde Park,892,76302,85.54,515,7616,8131,14.78834951,0
QN66,Laurelton,1472,54152,36.79,269,7417,7686,27.57249071,0
QN33,Cambria Heights,1243,57103,45.94,521,7132,7653,13.6890595,0
BK23,West Brighton,2024,39416,19.47,299,7322,7621,24.48829431,0
BK21,Seagate-Coney Island,1358,26581,19.57,413,6291,6704,15.23244552,0
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1993,46370,23.27,211,6276,6487,29.74407583,0
BX03,Eastchester-Edenwald-Baychester,1437,54660,38.04,256,5729,5985,22.37890625,0
QN15,Far Rockaway-Bayswater,1548,55561,35.89,106,5748,5854,54.22641509,0
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1637,79249,48.41,1316,3937,5253,2.991641337,0
QN07,Hollis,1388,84160,60.63,296,4925,5221,16.63851351,0
BK93,Starrett City,3182,26520,8.33,160,4120,4280,25.75,0
SI05,New Springville-Bloomfield-Travis,1311,83461,63.66,396,3693,4089,9.325757576,0
SI14,Grasmere-Arrochar-Ft. Wadsworth,1056,47859,45.32,282,3297,3579,11.69148936,0
QN12,Hammels-Arverne-Edgemere,1613,74187,45.99,122,3124,3246,25.60655738,0
SI37,Stapleton-Rosebank,1586,73153,46.12,246,2901,3147,11.79268293,0
SI36,Old Town-Dongan Hills-South Beach,1166,56029,48.05,158,2898,3056,18.34177215,0
SI22,West New Brighton-New Brighton-St. George,1599,86299,53.97,176,2671,2847,15.17613636,0
SI07,Westerleigh,1975,63296,32.05,254,2433,2687,9.578740157,0
SI08,Grymes Hill-Clifton-Fox Hills,1926,85059,44.16,133,1871,2004,14.06766917,0
SI35,New Brighton-Silver Lake,1760,62790,35.68,93,1841,1934,19.79569892,0
SI45,New Dorp-Midland Beach,2207,87004,39.42,82,1686,1768,20.56097561,0
SI54,Great Kills,0,0,0,41,1413,1454,34.46341463,0
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1099,67617,61.53,135,1301,1436,9.637037037,0
SI48,Arden Heights,1934,88499,45.76,238,1014,1252,4.260504202,0
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,1505,65826,43.74,75,1051,1126,14.01333333,0
SI25,Oakwood-Oakwood Beach,1556,61367,39.44,27,954,981,35.33333333,0
SI28,Port Richmond,2382,84997,35.68,53,778,831,14.67924528,0
SI11,Charleston-Richmond Valley-Tottenville,1246,54472,43.72,39,675,714,17.30769231,0
SI32,Rossville-Woodrow,1249,73538,58.88,34,664,698,19.52941176,0
BX98,Rikers Island,0,0,0,230,241,471,1.047826087,0
SI99,park-cemetery-etc-Staten Island,,,0,6,15,21,2.5,0
