nta_code,nta_name,num_stations,households,median_income,median_income_per_household,pickups,dropoffs,total_mta_swipes,total_taxi_trips
BX46,Parkchester,NULL,2489,47815,19.21,1358,17598,NULL,18956
BX49,Pelham Parkway,1,1276,50260,39.39,744,19073,550173,19817
BX52,Schuylerville-Throgs Neck-Edgewater Park,NULL,1098,65909,60.03,952,18825,NULL,19777
BX55,Soundview-Bruckner,2,1253,31393,25.05,1254,13982,5280607,15236
BX59,Westchester-Unionport,2,1269,42913,33.82,4051,15387,2197346,19438
BX62,Woodlawn-Wakefield,2,1072,59205,55.23,557,18392,2095823,18949
BX63,West Concourse,4,1805,28313,15.69,13396,53109,13651369,66505
BX75,Crotona Park East,3,1153,25485,22.1,1115,8273,3403077,9388
BX98,Rikers Island,NULL,0,0,0,230,241,NULL,471
BX99,park-cemetery-etc-Bronx,2,83,14642,176.41,1683,16653,2739448,18336
JFK,John F Kennedy International Airport,NULL,2565,42210,16.46,2739971,1319916,NULL,4059887
LGA,La Guardia Airport,NULL,2057,35436,17.23,3579964,2158717,NULL,5738681
MN01,Marble Hill-Inwood,5,2642,39518,14.96,12471,116988,7706209,129459
MN03,Central Harlem North-Polo Grounds,5,1598,21097,13.2,162021,553724,8141033,715745
MN04,Hamilton Heights,2,2022,61634,30.48,164649,389150,9248533,553799
MN06,Manhattanville,1,1870,48744,26.07,153684,246967,4202735,400651
MN09,Morningside Heights,3,4166,95335,22.88,1645047,1729447,10888138,3374494
MN11,Central Harlem South,6,2675,104003,38.88,519622,843062,20820915,1362684
MN12,Upper West Side,8,4010,117382,29.27,7945570,7807801,34724681,15753371
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,7,3547,71559,20.17,16132388,15037056,37026085,31169444
MN14,Lincoln Square,3,934,116203,124.41,6541634,6008080,20713007,12549714
MN15,Clinton,NULL,2621,102440,39.08,7316113,6518151,NULL,13834264
MN17,Midtown-Midtown South,18,3622,99137,27.37,27916471,27880696,234625968,55797167
MN19,Turtle Bay-East Midtown,4,3720,97380,26.18,11534050,10636301,72855704,22170351
MN20,Murray Hill-Kips Bay,3,3186,76035,23.87,7789229,7785102,17705415,15574331
MN21,Gramercy,3,2629,114459,43.54,4556163,3859781,41095034,8415944
MN22,East Village,1,1952,119053,60.99,5710915,4651637,5318539,10362552
MN23,West Village,9,2864,130528,45.58,12230846,10415920,59872612,22646766
MN24,SoHo-TriBeCa-Civic Center-Little Italy,12,2249,39492,17.56,8755393,7956249,54861253,16711642
MN25,Battery Park City-Lower Manhattan,10,2026,42855,21.15,4401820,4843073,47512683,9244893
MN27,Chinatown,4,4316,99770,23.12,3115596,2532834,23703367,5648430
MN28,Lower East Side,1,4832,93142,19.28,963999,1544731,3533846,2508730
MN31,Lenox Hill-Roosevelt Island,1,2058,44785,21.76,6754141,6571396,1648997,13325537
MN32,Yorkville,NULL,2004,27872,13.91,4749723,4808100,NULL,9557823
MN33,East Harlem South,3,2303,51296,22.27,1180468,1585133,13824519,2765601
MN34,East Harlem North,2,2382,36001,15.11,562640,1051916,11858047,1614556
MN35,Washington Heights North,4,2044,139396,68.2,30278,285601,8076672,315879
MN36,Washington Heights South,6,5188,97998,18.89,166323,562171,18341899,728494
MN40,Upper East Side-Carnegie Hill,5,0,39875,0,11723369,11087504,45946394,22810873
MN50,Stuyvesant Town-Cooper Village,1,850,49264,57.96,606352,700218,6657578,1306570
MN99,park-cemetery-etc-Manhattan,NULL,3325,56190,16.9,2337919,2344455,NULL,4682374
QN01,South Jamaica,NULL,1150,76284,66.33,9216,11829,NULL,21045
QN02,Springfield Gardens North,NULL,1331,85774,64.44,777,15391,NULL,16168
QN03,Springfield Gardens South-Brookville,NULL,1189,74953,63.04,8907,26394,NULL,35301
QN05,Rosedale,NULL,685,64127,93.62,648,8541,NULL,9189
QN06,Jamaica Estates-Holliswood,NULL,677,68913,101.79,1163,20886,NULL,22049
QN07,Hollis,NULL,1388,84160,60.63,296,4925,NULL,5221
QN08,St. Albans,NULL,1533,45305,29.55,566,12113,NULL,12679
