nta_code,nta_name,p_avg_tip,d_avg_tip,total_avg,diff_dropoff_pickup
SI25,Oakwood-Oakwood Beach,4.65,12.98,8.815,8.33
SI28,Port Richmond,2.16,11.5,6.83,9.34
SI32,Rossville-Woodrow,1.38,15.05,8.215,13.67
SI35,New Brighton-Silver Lake,3.2,11.28,7.24,8.08
SI36,Old Town-Dongan Hills-South Beach,5.5,10.4,7.95,4.9
SI37,Stapleton-Rosebank,3.42,10.02,6.72,6.6
SI45,New Dorp-Midland Beach,4.97,11.6,8.285,6.63
SI48,Arden Heights,2.5,12.75,7.625,10.25
SI54,Great Kills,2.33,13.12,7.725,10.79
SI99,park-cemetery-etc-Staten Island,3.31,4.8,4.055,1.49
