nta_code,nta_name,households,median_income,median_income_per_household,pickups,dropoffs,total_swipes
MN28,"Lower East Side",4832,93142,19.28,963999,1544731,3533846
MN31,"Lenox Hill-Roosevelt Island",2058,44785,21.76,6754141,6571396,1648997
MN33,"East Harlem South",2303,51296,22.27,1180468,1585133,13824519
MN34,"East Harlem North",2382,36001,15.11,562640,1051916,11858047
MN35,"Washington Heights North",2044,139396,68.2,30278,285601,8076672
MN36,"Washington Heights South",5188,97998,18.89,166323,562171,18341899
MN40,"Upper East Side-Carnegie Hill",0,0,0,11723369,11087504,45946394
MN50,"Stuyvesant Town-Cooper Village",850,49264,57.96,606352,700218,6657578
QN10,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",1993,46370,23.27,211,6276,250960
QN12,Hammels-Arverne-Edgemere,1613,74187,45.99,122,3124,1216081
QN15,"Far Rockaway-Bayswater",1548,55561,35.89,106,5748,631413
QN17,"Forest Hills",884,56936,64.41,55081,215488,10113403
QN18,"Rego Park",1267,44515,35.13,22142,68130,4531950
QN20,Ridgewood,1975,39660,20.08,6015,87442,8817437
QN22,Flushing,1500,43993,29.33,13023,65809,13382144
QN25,Corona,798,54438,68.22,5496,45119,3219914
QN26,"North Corona",1924,50201,26.09,3782,41107,11082272
QN28,"Jackson Heights",776,57863,74.57,87521,282155,4470623
QN29,Elmhurst,1406,54760,38.95,48858,141204,19304117
QN31,"Hunters Point-Sunnyside-West Maspeth",802,70833,88.32,631927,985466,20745417
QN35,"Briarwood-Jamaica Hills",1687,58023,34.39,10818,42092,1188742
QN50,Elmhurst-Maspeth,723,60547,83.74,27211,85353,14062176
QN53,Woodhaven,889,59161,66.55,2681,27118,3021444
QN54,"Richmond Hill",1002,54278,54.17,5418,31202,3145589
QN55,"South Ozone Park",2765,69088,24.99,8283,55194,3091172
QN56,"Ozone Park",1459,64432,44.16,1605,12410,4299797
QN57,"Lindenwood-Howard Beach",1065,40876,38.38,1152,14744,1033356
QN60,"Kew Gardens",1264,53498,42.32,8900,39088,5846871
QN61,Jamaica,1347,56885,42.23,12052,35589,23179434
QN63,Woodside,818,34465,42.13,106408,206695,8913089
QN68,"Queensbridge-Ravenswood-Long Island City",1403,49208,35.07,240355,273803,5890174
QN70,Astoria,1184,55237,46.65,416561,853675,12860877
QN71,"Old Astoria",658,61228,93.05,142900,256968,4221987
QN72,Steinway,0,0,0,154699,404959,8174508
QN99,park-cemetery-etc-Queens,1644,81638,49.66,46138,72322,1654876
