nta_code,nta_name,p_avg_trip_dist,pickups_CRD,d_avg_distance,dropoffs_CRD,pickups_cash,dropoffs_cash,total_pickups,total_dropoffs,total_trips_crd,total_trips_csh,total_trips,percent_paid_in_cash,,,,,
BK93,Starrett City,7.62,54,11.35,1356,99,2746,153,4102,1410,2845,4255,66.86,,,,,
SI05,New Springville-Bloomfield-Travis,4.05,153,19.4,2201,186,1429,339,3630,2354,1615,3969,40.69,,,,,
SI14,Grasmere-Arrochar-Ft. Wadsworth,6.36,95,15.43,1946,158,1325,253,3271,2041,1483,3524,42.08,,,,,
QN12,Hammels-Arverne-Edgemere,8.54,34,18.05,1240,67,1859,101,3099,1274,1926,3200,60.19,,,,,
SI37,Stapleton-Rosebank,3.6,77,16.15,1581,133,1279,210,2860,1658,1412,3070,45.99,,,,,
SI36,Old Town-Dongan Hills-South Beach,7.16,45,17.12,1730,75,1125,120,2855,1775,1200,2975,40.34,,,,,
SI22,West New Brighton-New Brighton-St. George,4.06,57,18.48,1536,101,1113,158,2649,1593,1214,2807,43.25,,,,,
SI07,Westerleigh,4.82,112,17.69,1530,126,883,238,2413,1642,1009,2651,38.06,,,,,
SI08,Grymes Hill-Clifton-Fox Hills,6.75,50,17.12,1046,54,793,104,1839,1096,847,1943,43.59,,,,,
SI35,New Brighton-Silver Lake,4.8,41,17.75,1130,34,688,75,1818,1171,722,1893,38.14,,,,,
SI45,New Dorp-Midland Beach,7.08,26,18.61,1014,41,654,67,1668,1040,695,1735,40.06,,,,,
SI54,Great Kills,2.86,10,22.71,769,18,629,28,1398,779,647,1426,45.37,,,,,
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,4.74,52,21.37,689,59,583,111,1272,741,642,1383,46.42,,,,,
SI48,Arden Heights,2.74,132,22.21,647,92,350,224,997,779,442,1221,36.2,,,,,
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5.78,32,24.88,562,23,466,55,1028,594,489,1083,45.15,,,,,
SI25,Oakwood-Oakwood Beach,2.94,9,20.78,547,12,399,21,946,556,411,967,42.5,,,,,
SI28,Port Richmond,2.25,15,19.77,384,28,382,43,766,399,410,809,50.68,,,,,
SI11,Charleston-Richmond Valley-Tottenville,5.52,11,29.74,410,19,254,30,664,421,273,694,39.34,,,,,
SI32,Rossville-Woodrow,1.65,9,27.45,416,13,235,22,651,425,248,673,36.85,,,,,
BX98,Rikers Island,4.24,122,4.81,131,107,109,229,240,253,216,469,46.06,,,,,
SI99,park-cemetery-etc-Staten Island,4.43,2,14.31,8,4,7,6,15,10,11,21,52.38,,,,,
